; total RF including volcanic from MAGICC6 RCP45,
year,Ftot_constrain
1765,0.00E+00
1766,9.80E-03
1767,4.06E-02
1768,4.64E-02
1769,9.60E-03
1770,1.04E-02
1771,5.17E-02
1772,6.74E-02
1773,5.83E-02
1774,4.57E-02
1775,3.64E-02
1776,4.44E-02
1777,7.33E-02
1778,1.05E-01
1779,1.15E-01
1780,1.09E-01
1781,1.01E-01
1782,5.86E-02
1783,-5.68E-02
1784,-1.42E-01
1785,-7.00E-02
1786,5.71E-02
1787,1.21E-01
1788,1.29E-01
1789,1.86E-02
1790,-1.44E-01
1791,-1.24E-01
1792,3.54E-04
1793,6.21E-02
1794,5.93E-02
1795,2.44E-02
1796,1.26E-02
1797,2.96E-02
1798,4.50E-02
1799,5.32E-02
1800,7.10E-02
1801,9.34E-02
1802,9.05E-02
1803,7.59E-02
1804,7.38E-02
1805,7.31E-02
1806,6.41E-02
1807,5.49E-02
1808,-4.39E-01
1809,-1.58E+00
1810,-1.98E+00
1811,-1.19E+00
1812,-5.12E-01
1813,-3.10E-01
1814,-8.31E-01
1815,-2.29E+00
1816,-2.80E+00
1817,-1.63E+00
1818,-4.98E-01
1819,-4.71E-02
1820,7.94E-02
1821,8.65E-02
1822,8.91E-02
1823,9.31E-02
1824,1.01E-01
1825,1.15E-01
1826,1.34E-01
1827,1.53E-01
1828,1.63E-01
1829,1.37E-01
1830,-8.09E-02
1831,-4.75E-01
1832,-5.83E-01
1833,-2.94E-01
1834,-4.48E-01
1835,-1.05E+00
1836,-9.68E-01
1837,-3.57E-01
1838,1.67E-02
1839,1.31E-01
1840,1.11E-01
1841,8.69E-02
1842,8.75E-02
1843,6.10E-02
1844,5.61E-02
1845,1.06E-01
1846,1.59E-01
1847,1.97E-01
1848,2.26E-01
1849,2.13E-01
1850,1.73E-01
1851,1.66E-01
1852,1.68E-01
1853,1.61E-01
1854,1.52E-01
1855,1.04E-02
1856,-4.44E-01
1857,-6.77E-01
1858,-3.29E-01
1859,2.97E-02
1860,1.58E-01
1861,1.25E-01
1862,2.57E-02
1863,3.15E-02
1864,1.04E-01
1865,1.38E-01
1866,1.43E-01
1867,1.47E-01
1868,1.72E-01
1869,2.08E-01
1870,2.37E-01
1871,2.36E-01
1872,1.90E-01
1873,1.37E-01
1874,1.21E-01
1875,1.00E-01
1876,5.59E-02
1877,6.05E-02
1878,1.02E-01
1879,1.36E-01
1880,1.68E-01
1881,1.97E-01
1882,1.07E-01
1883,-7.96E-01
1884,-1.53E+00
1885,-9.51E-01
1886,-4.68E-01
1887,-3.50E-01
1888,-2.49E-01
1889,-3.17E-01
1890,-3.56E-01
1891,-2.61E-01
1892,-6.10E-02
1893,1.08E-01
1894,2.26E-01
1895,2.03E-01
1896,3.05E-02
1897,-6.93E-02
1898,2.63E-02
1899,1.36E-01
1900,1.82E-01
1901,1.66E-01
1902,-2.74E-01
1903,-6.36E-01
1904,-3.14E-01
1905,5.26E-02
1906,1.57E-01
1907,1.37E-01
1908,1.54E-01
1909,2.20E-01
1910,2.42E-01
1911,2.43E-01
1912,5.43E-03
1913,-8.96E-02
1914,1.55E-01
1915,3.12E-01
1916,3.87E-01
1917,4.23E-01
1918,4.30E-01
1919,4.08E-01
1920,3.06E-01
1921,2.81E-01
1922,3.67E-01
1923,3.86E-01
1924,3.89E-01
1925,4.24E-01
1926,4.69E-01
1927,4.89E-01
1928,4.42E-01
1929,3.92E-01
1930,4.20E-01
1931,4.46E-01
1932,4.13E-01
1933,4.24E-01
1934,4.85E-01
1935,5.41E-01
1936,5.99E-01
1937,6.13E-01
1938,6.01E-01
1939,6.05E-01
1940,6.16E-01
1941,6.08E-01
1942,5.64E-01
1943,5.40E-01
1944,5.69E-01
1945,6.08E-01
1946,6.42E-01
1947,6.57E-01
1948,6.66E-01
1949,6.46E-01
1950,6.09E-01
1951,5.69E-01
1952,5.34E-01
1953,5.14E-01
1954,5.22E-01
1955,5.83E-01
1956,6.67E-01
1957,7.34E-01
1958,7.50E-01
1959,7.36E-01
1960,6.48E-01
1961,5.19E-01
1962,4.13E-01
1963,-7.04E-02
1964,-4.18E-01
1965,-6.98E-02
1966,3.61E-01
1967,5.36E-01
1968,3.77E-01
1969,3.43E-01
1970,6.15E-01
1971,8.05E-01
1972,8.65E-01
1973,8.30E-01
1974,6.83E-01
1975,5.89E-01
1976,7.45E-01
1977,9.66E-01
1978,1.04E+00
1979,1.12E+00
1980,1.23E+00
1981,1.18E+00
1982,4.82E-01
1983,1.76E-01
1984,7.19E-01
1985,1.02E+00
1986,1.11E+00
1987,1.20E+00
1988,1.34E+00
1989,1.47E+00
1990,1.51E+00
1991,5.74E-01
1992,-4.93E-02
1993,6.65E-01
1994,1.20E+00
1995,1.41E+00
1996,1.51E+00
1997,1.58E+00
1998,1.69E+00
1999,1.80E+00
2000,1.86E+00
2001,1.90E+00
2002,1.91E+00
2003,1.91E+00
2004,1.89E+00
2005,1.90E+00
2006,1.92E+00
2007,1.95E+00
2008,1.99E+00
2009,2.07E+00
2010,2.16E+00
2011,2.19E+00
2012,2.23E+00
2013,2.28E+00
2014,2.32E+00
2015,2.36E+00
2016,2.41E+00
2017,2.45E+00
2018,2.49E+00
2019,2.54E+00
2020,2.58E+00
2021,2.62E+00
2022,2.66E+00
