;  Annual mean volcanic stratospheric aerosol forcing (W/m2),
; M. Meinshausen S. Smith et al. (2011) The RCP GHG concentrations and their extension from 1765 to 2300 DOI 10.1007/s10584-011-0156-z Climatic Change.,
Date,SV
1765,0
1766,0.11622211
1767,0.23244422
1768,0.19744422
1769,0.13181922
1770,0.12744422
1771,0.17994422
1772,0.21494422
1773,0.22806922
1774,0.23244422
1775,0.23244422
1776,0.23244422
1777,0.23244422
1778,0.23244422
1779,0.23244422
1780,0.23244422
1781,0.23244422
1782,0.21056922
1783,0.11869422
1784,0.044319219
1785,0.10119422
1786,0.18869422
1787,0.22369422
1788,0.22806922
1789,0.12306922
1790,-0.025680781
1791,0.009319219
1792,0.14056922
1793,0.20619422
1794,0.21494422
1795,0.19306922
1796,0.18869422
1797,0.21056922
1798,0.22806922
1799,0.23244422
1800,0.23244422
1801,0.23244422
1802,0.23244422
1803,0.23244422
1804,0.23244422
1805,0.23244422
1806,0.23244422
1807,0.23244422
1808,-0.25755578
1809,-1.3994308
1810,-1.8019308
1811,-1.0100558
1812,-0.34068078
1813,-0.14818078
1814,-0.67755578
1815,-2.1519308
1816,-2.6638058
1817,-1.4956808
1818,-0.36255578
1819,0.092444219
1820,0.22369422
1821,0.23244422
1822,0.23244422
1823,0.23244422
1824,0.23244422
1825,0.23244422
1826,0.23244422
1827,0.23244422
1828,0.22806922
1829,0.19306922
1830,-0.021305781
1831,-0.39755578
1832,-0.48505578
1833,-0.18318078
1834,-0.34505578
1835,-0.98818078
1836,-0.94880578
1837,-0.34943078
1838,0.044319219
1839,0.17994422
1840,0.17994422
1841,0.17556922
1842,0.18869422
1843,0.16681922
1844,0.15369422
1845,0.18431922
1846,0.21494422
1847,0.22806922
1848,0.23244422
1849,0.21599422
1850,0.19200464
1851,0.19303276
1852,0.20879734
1853,0.2235338
1854,0.2317588
1855,0.10118693
1856,-0.35667141
1857,-0.61027557
1858,-0.29772557
1859,0.028190052
1860,0.15053693
1861,0.13957026
1862,0.05526401
1863,0.06760151
1864,0.15087964
1865,0.19851609
1866,0.21907859
1867,0.22901714
1868,0.23107339
1869,0.22284839
1870,0.21873589
1871,0.2194213
1872,0.2070838
1873,0.19337547
1874,0.20125776
1875,0.19406089
1876,0.15293589
1877,0.14848068
1878,0.18035255
1879,0.20194318
1880,0.21565151
1881,0.22284839
1882,0.11112547
1883,-0.80253495
1884,-1.5373016
1885,-0.94407349
1886,-0.44851724
1887,-0.32137245
1888,-0.21102036
1889,-0.27750578
1890,-0.3316537
1891,-0.2617412
1892,-0.087645365
1893,0.060061927
1894,0.16938589
1895,0.1618463
1896,0.016537969
1897,-0.064683906
1898,0.037785885
1899,0.15053693
1900,0.20194318
1901,0.19166193
1902,-0.25694328
1903,-0.65105786
1904,-0.3563287
1905,0.002144219
1906,0.1001588
1907,0.076169219
1908,0.087821302
1909,0.15396401
1910,0.18892026
1911,0.19508901
1912,-0.048576615
1913,-0.15652974
1914,0.055606719
1915,0.15944734
1916,0.18754943
1917,0.19611714
1918,0.20194318
1919,0.1947463
1920,0.11078276
1921,0.095703594
1922,0.18103797
1923,0.20228589
1924,0.18926297
1925,0.18926297
1926,0.19714526
1927,0.19508901
1928,0.14573901
1929,0.096046302
