year,run_name,component,variable,value
1850,rcp26,temperature,Tgav,0
1851,rcp26,temperature,Tgav,-0.01885
1852,rcp26,temperature,Tgav,-0.15205
1853,rcp26,temperature,Tgav,-0.05175
1854,rcp26,temperature,Tgav,-0.02675
1855,rcp26,temperature,Tgav,0.02535
1856,rcp26,temperature,Tgav,-0.0736
1857,rcp26,temperature,Tgav,-0.15615
1858,rcp26,temperature,Tgav,-0.09815
1859,rcp26,temperature,Tgav,-0.24755
1860,rcp26,temperature,Tgav,0.23645
1861,rcp26,temperature,Tgav,0.24915
1862,rcp26,temperature,Tgav,0.16835
1863,rcp26,temperature,Tgav,0.10915
1864,rcp26,temperature,Tgav,0.15835
1865,rcp26,temperature,Tgav,0.18235
1866,rcp26,temperature,Tgav,0.13245
1867,rcp26,temperature,Tgav,0.11745
1868,rcp26,temperature,Tgav,0.20879
1869,rcp26,temperature,Tgav,0.24035
1870,rcp26,temperature,Tgav,-0.01685
1871,rcp26,temperature,Tgav,0.13995
1872,rcp26,temperature,Tgav,0.28515
1873,rcp26,temperature,Tgav,0.03305
1874,rcp26,temperature,Tgav,0.12195
1875,rcp26,temperature,Tgav,0.23645
1876,rcp26,temperature,Tgav,0.27809
1877,rcp26,temperature,Tgav,0.30265
1878,rcp26,temperature,Tgav,0.24515
1879,rcp26,temperature,Tgav,0.25545
1880,rcp26,temperature,Tgav,0.11365
1881,rcp26,temperature,Tgav,0.22455
1882,rcp26,temperature,Tgav,0.25705
1883,rcp26,temperature,Tgav,0.07835
1884,rcp26,temperature,Tgav,-0.08301667
1885,rcp26,temperature,Tgav,-0.12175
1886,rcp26,temperature,Tgav,-0.09025
1887,rcp26,temperature,Tgav,-0.00595
1888,rcp26,temperature,Tgav,-0.01215
1889,rcp26,temperature,Tgav,0.07025
1890,rcp26,temperature,Tgav,0.07195
1891,rcp26,temperature,Tgav,0.04571
1892,rcp26,temperature,Tgav,0.08135
1893,rcp26,temperature,Tgav,0.07605
1894,rcp26,temperature,Tgav,0.09505
1895,rcp26,temperature,Tgav,0.15745
1896,rcp26,temperature,Tgav,0.07685
1897,rcp26,temperature,Tgav,0.24215
1898,rcp26,temperature,Tgav,0.21525
1899,rcp26,temperature,Tgav,0.22005
1900,rcp26,temperature,Tgav,0.20415
1901,rcp26,temperature,Tgav,0.14875
1902,rcp26,temperature,Tgav,0.17055
1903,rcp26,temperature,Tgav,-0.20875
1904,rcp26,temperature,Tgav,-0.12305
1905,rcp26,temperature,Tgav,-0.05125
1906,rcp26,temperature,Tgav,-0.16285
1907,rcp26,temperature,Tgav,-0.02615
1908,rcp26,temperature,Tgav,0.10375
1909,rcp26,temperature,Tgav,0.16895
1910,rcp26,temperature,Tgav,0.24685
1911,rcp26,temperature,Tgav,0.25417
1912,rcp26,temperature,Tgav,0.04105
1913,rcp26,temperature,Tgav,-0.08765
1914,rcp26,temperature,Tgav,0.13605
1915,rcp26,temperature,Tgav,0.22125
1916,rcp26,temperature,Tgav,0.23705
1917,rcp26,temperature,Tgav,0.28105
1918,rcp26,temperature,Tgav,0.23025
1919,rcp26,temperature,Tgav,0.10785
1920,rcp26,temperature,Tgav,0.17125
1921,rcp26,temperature,Tgav,0.16725
1922,rcp26,temperature,Tgav,0.03295
1923,rcp26,temperature,Tgav,0.28705
1924,rcp26,temperature,Tgav,0.28055
1925,rcp26,temperature,Tgav,0.16825
1926,rcp26,temperature,Tgav,0.21725
1927,rcp26,temperature,Tgav,0.18905
1928,rcp26,temperature,Tgav,0.30755
1929,rcp26,temperature,Tgav,0.20055
1930,rcp26,temperature,Tgav,0.07425
1931,rcp26,temperature,Tgav,0.27515
1932,rcp26,temperature,Tgav,0.25955
1933,rcp26,temperature,Tgav,0.34375
1934,rcp26,temperature,Tgav,0.39447
1935,rcp26,temperature,Tgav,0.27415
1936,rcp26,temperature,Tgav,0.28895
1937,rcp26,temperature,Tgav,0.33815
1938,rcp26,temperature,Tgav,0.34835
1939,rcp26,temperature,Tgav,0.27645
1940,rcp26,temperature,Tgav,0.38135
1941,rcp26,temperature,Tgav,0.46105
1942,rcp26,temperature,Tgav,0.41095
1943,rcp26,temperature,Tgav,0.39925
1944,rcp26,temperature,Tgav,0.44085
1945,rcp26,temperature,Tgav,0.30295
1946,rcp26,temperature,Tgav,0.34435
1947,rcp26,temperature,Tgav,0.39935
1948,rcp26,temperature,Tgav,0.40575
1949,rcp26,temperature,Tgav,0.57051
1950,rcp26,temperature,Tgav,0.50115
