section,parameter,biome-specific,time-variant,required,default,units,description
core,run_name,n,n,y,,(unitless),Name of model run
core,startDate,n,n,y,1745,year,Start date of model run
core,endDate,n,n,y,2300,year,End date of model run
core,trackingDate,n,n,y,9999,year,Year to start tracking carbon
core,do_spinup,n,n,y,1,(unitless),"If 1, spin up model before running (default=1)"
core,max_spinup,n,n,y,2000,(unitless),Maximum steps allowed for spinup (default=2000)
ocean,enabled,n,n,y,1,(unitless),Putting 'enabled=0' will disable any component
ocean,spinup_chem,n,n,y,0,(unitless),Run ocean surface chemistry during spinup phase?
ocean,tt,n,n,y,7.20E+07,m3 s-1,Ocean thermohaline circulation
ocean,tu,n,n,y,4.90E+07,m3 s-1,Ocean high latitude overturning
ocean,twi,n,n,y,1.25E+07,m3 s-1,Ocean warm-intermediate exchange
ocean,tid,n,n,y,2.00E+08,m3 s-1,Ocean intermediate-deep exchange
ocean,preind_surface_c,n,n,n,900,Pg C,Initial surface ocean carbon
ocean,preind_interdeep_c,n,n,n,37100,Pg C,Initial intermediate + deep ocean carbon
simpleNbox,atmos_co2,n,n,y,588.071,Pg C,Initial atmospheric CO2
simpleNbox,C0,n,n,y,277.15,Pg C,Initial atmospheric C pool
simpleNbox,pf.veg_c,y,n,n,55,Pg C,Initial vegetation C pool
simpleNbox,nonpf.veg_c,y,n,n,495,Pg C,Initial vegetation C pool
simpleNbox,veg_c,n,n,y,550,Pg C,Initial vegetation C pool
simpleNbox,pf.detritus_c,y,n,n,5,Pg C,Initial detritus C pool
simpleNbox,nonpf.detritus_c,y,n,n,50,Pg C,Initial detritus C pool
simpleNbox,detritus_c,n,n,y,55,Pg C,Initial detritus C pool
simpleNbox,pf.soil_c,y,n,n,308,Pg C,Initial soil C pool
simpleNbox,nonpf.soil_c,y,n,n,609,Pg C,Initial soil C pool
simpleNbox,soil_c,n,n,y,917,Pg C,Initial soil C pool
simpleNbox,pf.permafrost_c,y,n,n,865,Pg C,Initial permafrost C pool
simpleNbox,nonpf.permafrost_c,y,n,n,0,Pg C,Initial permafrost C pool
simpleNbox,permafrost_c,n,n,y,865,Pg C,Initial permafrost C pool
simpleNbox,pf.npp_flux0,y,n,n,5.6,Pg C yr-1,Preindustrial net primary production
simpleNbox,nonpf.npp_flux0,y,n,n,50.6,Pg C yr-1,Preindustrial net primary production
simpleNbox,npp_flux0,n,n,y,56.2,Pg C yr-1,Preindustrial net primary production
simpleNbox,pf.f_nppv,n,n,y,0.35,(unitless),Fraction of NPP to vegetation
simpleNbox,nonpf.f_nppv,n,n,y,0.35,(unitless),Fraction of NPP to vegetation
simpleNbox,f_nppv,n,n,y,0.35,(unitless),Fraction of NPP to vegetation
simpleNbox,pf.f_nppd,n,n,y,0.35,(unitless),Fraction of NPP to vegetation
simpleNbox,nonpf.f_nppd,n,n,y,0.35,(unitless),Fraction of NPP to vegetation
simpleNbox,f_nppd,n,n,y,0.6,(unitless),Fraction of NPP to detritus (balance to soil)
simpleNbox,pf.f_litterd,n,n,n,0.35,(unitless),Fraction of NPP to vegetation
simpleNbox,nonpf.f_litterd,n,n,n,0.35,(unitless),Fraction of NPP to vegetation
simpleNbox,f_litterd,n,n,y,0.98,(unitless),Fraction of litter flux to detritus (balance to soil)
simpleNbox,ffi_emissions,n,y,y,"""(csv)""",Pg C yr-1,Anthropogenic contributions: emissions
simpleNbox,daccs_uptake,n,y,y,"""(csv)""",Pg C yr-1,Anthropogenic contributions: direct air carbon capture and storage
simpleNbox,luc_emissions,n,y,y,"""(csv)""",Pg C yr-1,Anthropogenic contributions: land use change
simpleNbox,luc_uptake,n,y,y,"""(csv)""",Pg C yr-2,Anthropogenic contributions: land use change
simpleNbox,CO2_constrain,n,y,n,"""(csv)""",ppmv,Atmospheric CO2 constraint
simpleNbox,NBP_constrain,n,y,n,"""(csv)""",Pg C yr-1,Net biome production (land-atmosphere C flux) constaint
simpleNbox,pf.beta,n,n,n,0.36,(unitless),CO2 fertilization factor
simpleNbox,nonpf.beta,n,n,n,0.36,(unitless),CO2 fertilization factor
simpleNbox,beta,n,n,y,0.36,(unitless),CO2 fertilization factor
simpleNbox,pf.q10_rh,n,n,n,2,(unitless),Respiration temperature response (Q10)
simpleNbox,nonpf.q10_rh,n,n,n,2,(unitless),Respiration temperature response (Q10)
simpleNbox,q10_rh,n,n,y,2,(unitless),Respiration temperature response (Q10)
simpleNbox,pf.warmingfactor,y,n,n,2,(unitless),biome-specific warming factors
