section,parameter,biome-specific,time-variant,required,default,units,description
core,run_name,n,n,y,,(unitless),
core,startDate,n,n,y,1745,year,
core,endDate,n,n,y,2300,year,
core,trackingDate,n,n,y,9999,year,
core,do_spinup,n,n,y,1,(unitless),
core,max_spinup,n,n,y,2000,(unitless),
ocean,enabled,n,n,y,1,(unitless),
ocean,spinup_chem,n,n,y,0,(unitless),
ocean,tt,n,n,y,7.20E+07,m3/s,thermohaline circulation
ocean,tu,n,n,y,4.90E+07,m3/s,high latitude overturning
ocean,twi,n,n,y,1.25E+07,m3/s,warm-intermediate exchange
ocean,tid,n,n,y,2.00E+08,m3/s,intermediate-deep exchange
simpleNbox,atmos_c,n,n,y,588.071,Pg C,
simpleNbox,C0,n,n,y,277.15,Pg C,preindustrial CO2 from table 7.SM.1 IPCC AR6
simpleNbox,boreal.veg_c,y,n,y,100,Pg C,
simpleNbox,tropical.veg_c,y,n,y,450,Pg C,
simpleNbox,veg_c,n,n,y,550,Pg C,vegetation
simpleNbox,boreal.detritus_c,y,n,y,15,Pg C,
simpleNbox,tropical.detritus_c,y,n,y,45,Pg C,
simpleNbox,detritus_c,n,n,y,55,Pg C,detritus
simpleNbox,boreal.soil_c,y,n,y,1200,Pg C,
simpleNbox,tropical.soil_c,y,n,y,578,Pg C,
simpleNbox,soil_c,n,n,y,1782,Pg C,soil
simpleNbox,boreal.npp_flux0,y,n,y,5,Pg C/yr,
simpleNbox,tropical.npp_flux0,y,n,y,45,Pg C/yr,
simpleNbox,npp_flux0,n,n,y,56.2,Pg C/yr,net primary production
simpleNbox,f_nppv,n,n,y,0.35,(unitless),Fraction of NPP to vegetation
simpleNbox,f_nppd,n,n,y,0.6,(unitless),Fraction of NPP to detritus (balance to soil)
simpleNbox,f_litterd,n,n,y,0.98,(unitless),Fraction of litter flux to detritus (balance to soil)
simpleNbox,f_lucv,n,n,y,0.1,(unitless),Fraction of land use change flux from vegetation
simpleNbox,f_lucd,n,n,y,0.01,(unitless),Fraction of land use change flux from detritus (balance from soil)
simpleNbox,ffi_emissions,n,y,y,"""(csv)""",Pg C/yr,Anthropogenic contributions: emissions
simpleNbox,daccs_uptake,n,y,y,"""(csv)""",Pg C/yr,Anthropogenic contributions: direct air carbon capture and storage
simpleNbox,luc_emissions,n,y,y,"""(csv)""",Pg C/yr,Anthropogenic contributions: land use change
simpleNbox,CO2_constrain,n,y,n,"""(csv)""",ppmv,atmospheric CO2 constraint
simpleNbox,NBP_constrain,n,y,n,"""(csv)""",Pg C/yr,net biome production (land-atmosphere C flux) constaint
simpleNbox,beta,n,n,y,0.36,(unitless),
simpleNbox,q10_rh,n,n,y,2,(unitless),respiration response Q10
simpleNbox,boreal.warmingfactor,y,n,n,1.2,(unitless),biome-specific warming factors
simpleNbox,Ftalbedo,n,n,y,"""(csv)""",W/m2,albedo effect
carbon-cycle-solver,eps_abs,n,n,y,1.00E-06,(unitless),solution tolerance
carbon-cycle-solver,eps_rel,n,n,y,1.00E-06,(unitless),solution tolerance
carbon-cycle-solver,dt,n,n,y,0.25,(unitless),default time step
carbon-cycle-solver,eps_spinup,n,n,y,0.001,Pg C,"spinup tolerance (drift), Pg C"
so2,SO2_emissions,n,y,y,"""(csv)""",,emissions time series
so2,SV,n,y,y,"""(csv)""",,volcanic radiative forcing time series
CH4,M0,n,n,y,731.41,ppb,"preindustrial methane IPCC AR6 Table 7.SM.1, the CH4 forcing equations is calibrated to a M0 of 731.41 ppb"
CH4,Tsoil,n,n,y,160,years,CH4 loss to soil
CH4,Tstrat,n,n,y,120,years,CH4 loss to stratosphere
CH4,UC_CH4,n,n,y,2.78,Tg CH4/ppb,unit conversion between emissions and concentrations
CH4,CH4N,n,n,y,341,,best fit
CH4,CH4_emissions,n,y,y,"""(csv)""",,emissions time series
OH,NOX_emissions,n,y,y,"""(csv)""",,emissions time series
OH,CO_emissions,n,y,y,"""(csv)""",,emissions time series
OH,NMVOC_emissions,n,y,y,"""(csv)""",,emissions time series
OH,TOH0,n,n,y,6.6,years,initial OH lifetime
OH,CNOX,n,n,y,0.0042,,coefficient for NOX
OH,CCO,n,n,y,-1.05E-04,,coefficient for CO
OH,CNMVOC,n,n,y,-3.15E-04,,coefficient for NMVOC (non methane VOC)
OH,CCH4,n,n,y,-0.32,,coefficient for CH4
ozone,PO3,n,n,y,30,,preindustrial O3 concentration
ozone,NOX_emissions,n,y,y,"""(csv)""",,emissions time series
ozone,CO_emissions,n,y,y,"""(csv)""",,emissions time series
ozone,NMVOC_emissions,n,y,y,"""(csv)""",,emissions time series
N2O,N0,n,n,y,273.87,ppb,preindustrial nitrous oxide from IPCC AR6 table 7.SM.1
N2O,UC_N2O,n,n,y,4.8,TgN/ppbv,unit conversion between emissions and concentrations
