; Temperature from HadCRUT4,
Date,tas_constrain
1850,0
1851,0.003
1852,0.003
1853,-0.002
1854,-0.01
1855,-0.022
1856,-0.036
1857,-0.048
1858,-0.059
1859,-0.066
1860,-0.07
1861,-0.068
1862,-0.063
1863,-0.054
1864,-0.042
1865,-0.028
1866,-0.015
1867,-0.004
1868,0.004
1869,0.008
1870,0.009
1871,0.009
1872,0.01
1873,0.013
1874,0.021
1875,0.032
1876,0.045
1877,0.058
1878,0.066
1879,0.068
1880,0.062
1881,0.049
1882,0.031
1883,0.011
1884,-0.008
1885,-0.024
1886,-0.036
1887,-0.045
1888,-0.052
1889,-0.058
1890,-0.063
1891,-0.066
1892,-0.067
1893,-0.063
1894,-0.056
1895,-0.047
1896,-0.037
1897,-0.029
1898,-0.026
1899,-0.03
1900,-0.039
1901,-0.054
1902,-0.072
1903,-0.09
1904,-0.109
1905,-0.126
1906,-0.14
1907,-0.151
1908,-0.158
1909,-0.159
1910,-0.154
1911,-0.142
1912,-0.125
1913,-0.106
1914,-0.086
1915,-0.067
1916,-0.051
1917,-0.036
1918,-0.021
1919,-0.007
1920,0.006
1921,0.019
1922,0.031
1923,0.043
1924,0.054
1925,0.064
1926,0.074
1927,0.083
1928,0.092
1929,0.101
1930,0.11
1931,0.12
1932,0.132
1933,0.145
1934,0.16
1935,0.178
1936,0.198
1937,0.219
1938,0.24
1939,0.259
1940,0.274
1941,0.286
1942,0.294
1943,0.297
1944,0.295
1945,0.29
1946,0.281
1947,0.271
1948,0.261
1949,0.253
1950,0.247
1951,0.242
1952,0.238
1953,0.235
1954,0.233
1955,0.234
1956,0.238
1957,0.244
1958,0.252
1959,0.258
1960,0.262
1961,0.261
1962,0.255
1963,0.247
1964,0.239
1965,0.231
1966,0.226
1967,0.223
1968,0.221
1969,0.22
1970,0.219
1971,0.217
1972,0.215
1973,0.215
1974,0.219
1975,0.227
1976,0.24
1977,0.259
1978,0.281
1979,0.303
1980,0.324
1981,0.341
1982,0.356
1983,0.367
1984,0.379
1985,0.392
1986,0.407
1987,0.423
1988,0.441
1989,0.458
1990,0.475
1991,0.49
1992,0.506
1993,0.524
1994,0.545
1995,0.568
1996,0.594
1997,0.62
1998,0.646
1999,0.67
2000,0.692
2001,0.713
2002,0.731
2003,0.746
2004,0.757
2005,0.764
2006,0.769
2007,0.77
2008,0.77
2009,0.769
2010,0.768
2011,0.768
2012,0.768
2013,0.768
